background, person, image, K, BER, SNR
1, 1, 0, 1, 0.05591890124264225, 1
1, 1, 0, 1, 0.038129496402877695, 2
1, 1, 0, 1, 0.022465663832570308, 3
1, 1, 0, 1, 0.012589928057553957, 4
1, 1, 0, 1, 0.005428384565075213, 5
1, 1, 0, 1, 0.0021909744931327664, 6
1, 1, 0, 1, 0.0006867233485938522, 7
1, 1, 0, 2, 0.0776978417266187, 1
1, 1, 0, 2, 0.054774362328319164, 2
1, 1, 0, 2, 0.03525179856115108, 3
1, 1, 0, 2, 0.01896664486592544, 4
1, 1, 0, 2, 0.008338783518639634, 5
1, 1, 0, 2, 0.003106605624591236, 6
1, 1, 0, 2, 0.0017658600392413343, 7
1, 1, 0, 4, 0.0618705035971223, 1
1, 1, 0, 4, 0.03273381294964029, 2
1, 1, 0, 4, 0.016383257030739045, 3
1, 1, 0, 4, 0.00618051013734467, 4
1, 1, 0, 4, 0.002223675604970569, 5
1, 1, 0, 4, 0.0002616088947024199, 6
1, 1, 0, 4, 0.0, 7
1, 1, 0, 8, 0.08472858077174623, 1
1, 1, 0, 8, 0.043917593198168736, 2
1, 1, 0, 8, 0.018639633747547416, 3
1, 1, 0, 8, 0.006213211249182472, 4
1, 1, 0, 8, 0.0021255722694571615, 5
1, 1, 0, 8, 3.2701111837802485e-05, 6
1, 1, 0, 8, 6.540222367560497e-05, 7
1, 1, 0, 16, 0.08531720078482669, 1
1, 1, 0, 16, 0.040451275343361674, 2
1, 1, 0, 16, 0.014388489208633094, 3
1, 1, 0, 16, 0.003891432308698496, 4
1, 1, 0, 16, 0.0007521255722694572, 5
1, 1, 0, 16, 0.0, 6
1, 1, 0, 16, 0.0, 7
1, 1, 0, 32, 0.09699149771092218, 1
1, 1, 0, 32, 0.04061478090255069, 2
1, 1, 0, 32, 0.008077174623937214, 3
1, 1, 0, 32, 0.0017985611510791368, 4
1, 1, 0, 32, 0.0, 5
1, 1, 0, 32, 0.0, 6
1, 1, 0, 32, 0.0, 7
1, 1, 0, 64, 0.1238064094179202, 1
1, 1, 0, 64, 0.031393067364290386, 2
1, 1, 0, 64, 0.006605624591236102, 3
1, 1, 0, 64, 0.0005886200130804447, 4
1, 1, 0, 64, 0.0, 5
1, 1, 0, 64, 0.0, 6
1, 1, 0, 64, 0.0, 7
1, 1, 0, 128, 0.14833224329627206, 1
1, 1, 0, 128, 0.03338783518639634, 2
1, 1, 0, 128, 0.0005232177894048398, 3
1, 1, 0, 128, 0.0, 4
1, 1, 0, 128, 0.0, 5
1, 1, 0, 128, 0.0, 6
1, 1, 0, 128, 0.0, 7
1, 1, 1, 1, 0.05587794491254364, 1
1, 1, 1, 1, 0.037938881070312354, 2
1, 1, 1, 1, 0.023495330177471532, 3
1, 1, 1, 1, 0.012483322062398333, 4
